time,EXTIN,INFLOW,FROMMVR,GWF,OUTFLOW,EXTOUT,TOMVR
31010400.00000,185.0000000,1018.530989,227.4392074,5.298882802,-1018.530989,-199.1271096,-208.0132150
31185600.00000,185.0000000,1018.536768,227.4412977,5.300569627,-1018.536768,-199.1268941,-208.0138339
31360800.00000,185.0000000,1018.542203,227.4429327,5.302266574,-1018.542203,-199.1261625,-208.0145036
31536000.00000,185.0000000,1018.547459,227.4446161,5.303964372,-1018.547459,-199.1254091,-208.0152427
31711200.00000,185.0000000,1018.552617,227.4297148,5.305626646,-1018.552617,-199.1080341,-208.0160541
31886400.00000,185.0000000,1018.557566,227.4311220,5.307312331,-1018.557566,-199.1069040,-208.0169057
32061600.00000,185.0000000,1018.562302,227.4323536,5.309002808,-1018.562302,-199.1055627,-208.0177880
32236800.00000,185.0000000,1018.566836,227.4334848,5.310695767,-1018.566836,-199.1040985,-208.0186905
32412000.00000,185.0000000,1018.571192,227.4345381,5.312379761,-1018.571192,-199.1025545,-208.0196038
32587200.00000,185.0000000,1018.575388,227.4355489,5.314054883,-1018.575388,-199.1009697,-208.0205243
32762400.00000,185.0000000,1018.579442,227.4365437,5.315717524,-1018.579442,-199.0993774,-208.0214488
32937600.00000,185.0000000,1018.583357,227.4375001,5.317368501,-1018.583357,-199.0977615,-208.0223701
33112800.00000,185.0000000,1018.587132,227.4384218,5.319007903,-1018.587132,-199.0961336,-208.0232803
33288000.00000,185.0000000,1018.590771,227.4393242,5.320633805,-1018.590771,-199.0945157,-208.0241746
33463200.00000,185.0000000,1018.594275,227.4401938,5.322247023,-1018.594275,-199.0928985,-208.0250483
33638400.00000,185.0000000,1018.597651,227.4410325,5.323847696,-1018.597651,-199.0912853,-208.0258995
33813600.00000,185.0000000,1018.600908,227.4418446,5.325434741,-1018.600908,-199.0896810,-208.0267288
33988800.00000,185.0000000,1018.604055,227.4426399,5.327006865,-1018.604055,-199.0880964,-208.0275366
34164000.00000,185.0000000,1018.607115,227.4434422,5.328555806,-1018.607115,-199.0865584,-208.0283280
34339200.00000,185.0000000,1018.610147,228.4375410,5.331670605,-1018.610147,-200.0767487,-208.0291218
34514400.00000,185.0000000,1018.613118,228.4383630,5.333204560,-1018.613118,-200.0752634,-208.0298951
34689600.00000,185.0000000,1018.617904,228.4399550,5.332824497,-1018.617904,-200.0764912,-208.0306393
34864800.00000,185.0000000,1018.651861,228.4558554,5.303226099,-1018.651861,-200.1212740,-208.0313553
35040000.00000,185.0000000,1018.683417,228.4704776,5.275927023,-1018.683417,-200.1625052,-208.0320453
35215200.00000,185.0000000,1018.712812,228.4840095,5.250685144,-1018.712812,-200.2006135,-208.0327108
35390400.00000,185.0000000,1018.740163,228.4966164,5.227383953,-1018.740163,-200.2358844,-208.0333481
35565600.00000,185.0000000,1018.765592,228.5083550,5.205881209,-1018.765592,-200.2685292,-208.0339446
35740800.00000,185.0000000,1018.881178,228.6126283,5.188486974,-1018.881178,-200.3896492,-208.0344921
35916000.00000,185.0000000,1019.090260,228.8145025,5.178680055,-1019.090260,-200.6008306,-208.0349918
36091200.00000,185.0000000,1019.205773,228.9251115,5.173766720,-1019.205773,-200.7159013,-208.0354435
36266400.00000,185.0000000,1019.271865,228.9875255,5.171428130,-1019.271865,-200.7802494,-208.0358479
36441600.00000,185.0000000,1019.310547,229.0232294,5.170507908,-1019.310547,-200.8165105,-208.0362110
36616800.00000,185.0000000,1019.333526,229.0436580,5.170390593,-1019.333526,-200.8367291,-208.0365383
36792000.00000,185.0000000,1019.347346,229.0552131,5.170732232,-1019.347346,-200.8476453,-208.0368356
36967200.00000,185.0000000,1018.933098,227.8885210,5.173602956,-1018.933098,-199.6778059,-208.0371121
