time,LAK1_STAGE,LAK2_STAGE,LAK1_TO-MVR,LAK1_FROM-MVR,LAK2_TO-MVR,LAK2_FROM-MVR
14191200.00000,1041.250767,1001.409927,-32.60120811,31.22706147,-186.2685444,175.8707651
14366400.00000,1041.250753,1001.409914,-32.60061489,31.22706147,-186.2657074,175.8695890
14541600.00000,1041.250741,1001.409901,-32.60005096,31.22706147,-186.2630156,175.8684468
14716800.00000,1041.250728,1001.409890,-32.59951420,31.22706147,-186.2604562,175.8673359
14892000.00000,1041.250716,1001.409879,-32.59900266,31.22706147,-186.2580185,175.8662547
15067200.00000,1041.250705,1001.409868,-32.59851455,31.22706147,-186.2556922,175.8652011
15242400.00000,1041.250694,1001.409858,-32.59804824,31.22706147,-186.2534684,175.8641735
15417600.00000,1041.250684,1001.409849,-32.59760572,31.22706147,-186.2513573,175.8631812
15592800.00000,1041.250675,1001.409840,-32.59721121,31.22706147,-186.2494824,175.8623018
15768000.00000,1041.250667,1001.409833,-32.59686668,31.22706147,-186.2478554,175.8615437
15943200.00000,1041.250660,1001.409826,-32.59654322,31.22706147,-186.2463304,175.8608699
16118400.00000,1041.250653,1001.409819,-32.59624126,31.22706147,-186.2449457,175.8603610
16293600.00000,1041.250647,1001.409814,-32.59597324,31.22706147,-186.2438589,175.8602448
16468800.00000,1041.250642,1001.409811,-32.59575285,31.22706147,-186.2431598,175.8605491
16644000.00000,1041.250638,1001.409810,-32.59559502,31.22706147,-186.2429414,175.8613057
16819200.00000,1041.250636,1001.409812,-32.59551538,31.22706147,-186.2434266,175.8628171
16994400.00000,1041.250636,1001.409818,-32.59551479,31.22706147,-186.2446676,175.8650905
17169600.00000,1041.250638,1001.409827,-32.59558985,31.22706147,-186.2466731,175.8680903
17344800.00000,1041.250641,1001.409840,-32.59573846,31.22706147,-186.2495599,175.8717822
17520000.00000,1041.250646,1001.409858,-32.59595832,31.22706147,-186.2534015,175.8761294
17695200.00000,1041.250653,1001.409879,-32.59624548,31.22706147,-186.2581666,175.8810185
17870400.00000,1041.250661,1001.409905,-32.59659564,31.22706147,-186.2638103,175.8863972
18045600.00000,1041.250670,1001.409935,-32.59700453,31.22706147,-186.2702967,175.8923210
18220800.00000,1041.250681,1001.409968,-32.59746476,31.22706147,-186.2775710,175.8987365
18396000.00000,1041.250692,1001.410004,-32.59796335,31.22706147,-186.2855324,175.9055340
18571200.00000,1041.250705,1001.410043,-32.59851323,31.22706147,-186.2941846,175.9125774
18746400.00000,1041.250719,1001.410085,-32.59910662,31.22706147,-186.3034268,175.9197515
18921600.00000,1041.250733,1001.410129,-32.59973132,31.22706147,-186.3131268,175.9269468
19096800.00000,1041.250748,1001.410175,-32.60037894,31.22706147,-186.3231715,175.9341029
19272000.00000,1041.250763,1001.410221,-32.60104260,31.22706147,-186.3334487,175.9411335
19447200.00000,1041.250779,1001.410270,-32.60173344,31.22706147,-186.3441820,175.9482283
19622400.00000,1041.250796,1001.410322,-32.60246303,31.22706147,-186.3555110,175.9557656
19797600.00000,1041.250815,1001.410379,-32.60329385,31.22706147,-186.3681450,175.9638890
19972800.00000,1041.250840,1001.410488,-32.60436567,31.22706147,-186.3921974,176.0367978
20148000.00000,1041.250872,1001.410658,-32.60576596,31.22706147,-186.4295823,176.1014510
20323200.00000,1041.250912,1001.410880,-32.60749362,31.22706147,-186.4785857,176.1584603
20498400.00000,1041.250958,1001.411143,-32.60951021,31.22706147,-186.5363677,176.2092048
20673600.00000,1041.251010,1001.411436,-32.61178165,31.22706147,-186.6009651,176.2578888
20848800.00000,1041.251068,1001.411748,-32.61426970,31.22706147,-186.6697841,176.2976906
21024000.00000,1041.251129,1001.412072,-32.61694016,31.22706147,-186.7412020,176.3338050
21199200.00000,1041.251194,1001.412403,-32.61974230,31.22706147,-186.8142431,176.3686479
21374400.00000,1041.251260,1001.412738,-32.62264252,31.22706147,-186.8878938,176.4020804
21549600.00000,1041.251329,1001.413069,-32.62561300,31.22706147,-186.9608798,176.4303232
21724800.00000,1041.251398,1001.413392,-32.62863318,31.22706147,-187.0321275,176.4529404
21900000.00000,1041.251469,1001.413706,-32.63169262,31.22706147,-187.1015486,176.4748926
22075200.00000,1041.251540,1001.414013,-32.63478851,31.22706147,-187.1691777,176.4961946
22250400.00000,1041.251612,1001.414311,-32.63790987,31.22706147,-187.2348483,176.5168199
22425600.00000,1041.251684,1001.414601,-32.64106595,31.22706147,-187.2989186,176.5366476
22600800.00000,1041.251757,1001.414883,-32.64424379,31.22706147,-187.3610891,176.5556520
22776000.00000,1041.251830,1001.415153,-32.64742747,31.22706147,-187.4207050,176.5700782
22951200.00000,1041.251904,1001.415410,-32.65060561,31.22706147,-187.4773926,176.5808868
23126400.00000,1041.251980,1001.415654,-32.65393595,31.22706147,-187.5314239,176.5916869
23301600.00000,1041.252063,1001.415888,-32.65754785,31.22706147,-187.5831256,176.6026652
23476800.00000,1041.252151,1001.416112,-32.66138144,31.22706147,-187.6325751,176.6137351
23652000.00000,1041.252243,1001.416326,-32.66537321,31.22706147,-187.6796859,176.6247942
23827200.00000,1041.252338,1001.416528,-32.66949837,31.22706147,-187.7244269,176.6357802
24002400.00000,1041.252435,1001.416720,-32.67371796,31.22706147,-187.7667333,176.6466338
24177600.00000,1041.252534,1001.416901,-32.67802409,31.22706147,-187.8068151,176.6573574
24352800.00000,1041.252634,1001.417074,-32.68237589,31.22706147,-187.8449066,176.6678798
24528000.00000,1041.252735,1001.417238,-32.68677293,31.22706147,-187.8811764,176.6781825
24703200.00000,1041.252837,1001.417394,-32.69121478,31.22706147,-187.9157515,176.6882835
24878400.00000,1041.252940,1001.417542,-32.69569759,31.22706147,-187.9484388,176.6954162
25053600.00000,1041.253044,1001.417681,-32.70021741,31.22706147,-187.9791515,176.7001996
25228800.00000,1041.253149,1001.417812,-32.70476858,31.22706147,-188.0081171,176.7051598
25404000.00000,1041.253254,1001.417936,-32.70934431,31.22706147,-188.0355265,176.7102816
25579200.00000,1041.253359,1001.418054,-32.71393744,31.22706147,-188.0615054,176.7155321
25754400.00000,1041.253465,1001.418165,-32.71853618,31.22706147,-188.0860425,176.7208470
25929600.00000,1041.253571,1001.418270,-32.72313029,31.22706147,-188.1091908,176.7261926
26104800.00000,1041.253675,1001.418368,-32.72768328,31.22706147,-188.1308759,176.7314902
26280000.00000,1041.253778,1001.418459,-32.73215140,31.22706147,-188.1509904,176.7366571
26455200.00000,1041.253877,1001.418541,-32.73644495,31.22706147,-188.1691143,176.7415541
26630400.00000,1041.253971,1001.418614,-32.74055624,31.22706147,-188.1853106,176.7461686
26805600.00000,1041.254062,1001.418679,-32.74449257,31.22706147,-188.1997611,176.7505145
26980800.00000,1041.254148,1001.418738,-32.74826170,31.22706147,-188.2126366,176.7546051
27156000.00000,1041.254231,1001.418789,-32.75187097,31.22706147,-188.2240962,176.7584533
27331200.00000,1041.254310,1001.418835,-32.75532719,31.22706147,-188.2342802,176.7620708
27506400.00000,1041.254386,1001.418876,-32.75863641,31.22706147,-188.2433070,176.7654675
27681600.00000,1041.254459,1001.418912,-32.76180406,31.22706147,-188.2512765,176.7686533
27856800.00000,1041.254529,1001.418944,-32.76483554,31.22706147,-188.2582817,176.7716361
28032000.00000,1041.254595,1001.418972,-32.76773612,31.22706147,-188.2644049,176.7744158
28207200.00000,1041.254659,1001.418996,-32.77051065,31.22706147,-188.2697164,176.7769717
28382400.00000,1041.254720,1001.419016,-32.77316486,31.22706147,-188.2742823,176.7793154
28557600.00000,1041.254781,1001.419034,-32.77581887,31.22706147,-188.2782261,176.7815893
28732800.00000,1041.254842,1001.419049,-32.77848750,31.22706147,-188.2815828,176.7838183
28908000.00000,1041.254903,1001.419062,-32.78114012,31.22706147,-188.2843670,176.7859742
29083200.00000,1041.254965,1001.419073,-32.78383906,31.22706147,-188.2868855,176.7870111
29258400.00000,1041.255028,1001.419083,-32.78656628,31.22706147,-188.2890199,176.7861459
29433600.00000,1041.255090,1001.419091,-32.78929182,31.22706147,-188.2908521,176.7854689
29608800.00000,1041.255153,1001.419098,-32.79199990,31.22706147,-188.2924507,176.7849538
29784000.00000,1041.255214,1001.419105,-32.79467018,31.22706147,-188.2938557,176.7845675
29959200.00000,1041.255275,1001.419111,-32.79735531,31.22706147,-188.2951483,176.7843598
30134400.00000,1041.255338,1001.419116,-32.80007233,31.22706147,-188.2963342,176.7843328
30309600.00000,1041.255401,1001.419121,-32.80282268,31.22706147,-188.2973566,176.7844689
30484800.00000,1041.255465,1001.419124,-32.80559693,31.22706147,-188.2981445,176.7847392
30660000.00000,1041.255529,1001.419127,-32.80838597,31.22706147,-188.2986619,176.7851214
30835200.00000,1041.255593,1001.419128,-32.81118195,31.22706147,-188.2989016,176.7855986
31010400.00000,1041.255657,1001.419128,-32.81397727,31.22706147,-188.2988740,176.7861535
31185600.00000,1041.255721,1001.419126,-32.81676532,31.22706147,-188.2985955,176.7867724
31360800.00000,1041.255785,1001.419124,-32.81953981,31.22706147,-188.2980753,176.7874422
31536000.00000,1041.255848,1001.419121,-32.82231350,31.22706147,-188.2974493,176.7881812
31711200.00000,1041.255912,1001.419118,-32.82508731,31.22706147,-188.2967885,176.7889926
31886400.00000,1041.255975,1001.419115,-32.82783939,31.22706147,-188.2960205,176.7898442
32061600.00000,1041.256038,1001.419111,-32.83056192,31.22706147,-188.2951635,176.7907265
32236800.00000,1041.256099,1001.419107,-32.83324576,31.22706147,-188.2942443,176.7916290
