#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
122 4 27 21 925.20593 3.450551804016115 1e-05 34.78607177734375 1 1.0 0.03700000047683716 2 1.0 0 17958269
123 4 21 12 66.95304 24.875934600830078 0.0005065425781213945 31.082560539245605 1 14.27671 0.03700000047683716 2 1.0 0 17956381
124 4 26 21 1302.6047 4.583635330200195 1e-05 34.78607177734375 1 1.0 0.03700000047683716 2 1.0 0 17958265
125 4 22 12 190.58434 24.928353309631348 0.0012514945761358 31.048645973205566 1 1.267513 0.03700000047683716 2 1.0 0 17956389
126 1 20 3 346.82867 31.911300659179688 1e-05 30.79560089111328 1 1.5487152 0.03700000047683716 1 1.0 0 17956335
127 4 25 17 903.98254 3.933829188346863 0.0007111087479786778 34.87646293640137 1 1.0 0.03700000047683716 1 1.0 0 17956705
128 4 26 20 107.1941 4.632642215189868 4.994866269170742e-05 34.78502064557531 1 5.862987 0.03700000047683716 2 1.0 0 17958031
129 4 25 20 438.8258 4.647579607967482 1.821855790994684e-05 34.779666443660524 1 1.0 0.03700000047683716 2 1.0 0 17958031
130 4 25 19 376.4787 4.669883785441608 3.2004194546126313e-05 34.771671670307654 1 1.0 0.03700000047683716 2 1.0 0 17958031
131 4 26 19 852.2642 4.703498340441148 2.1991135983339823e-05 34.75962277279101 1 1.0 0.03700000047683716 2 1.0 0 17958031
132 4 26 18 1059.0656 4.755786333954727 0.00047895757933520065 34.740880514409056 1 1.0 0.03700000047683716 2 1.0 0 17958031
133 4 22 13 1455.5765 24.94275447642803 9.861015151127148e-05 30.810130711247194 1 1.2057405 0.03700000047683716 2 1.0 0 17958025
134 4 22 14 147.76237 24.95224847381001 0.0007542251649519788 30.666596088290287 1 1.0 0.03700000047683716 2 1.0 0 17958025
135 4 23 14 1097.1346 24.959619998357205 0.00011623905517832843 30.555149986724285 1 1.0 0.03700000047683716 2 1.0 0 17958025
136 4 23 13 327.42453 24.968055374145518 0.00045601069210736867 30.427620092354076 1 2.107592 0.03700000047683716 2 1.0 0 17958025
137 1 24 13 1340.417 24.977931319388723 0.0002164866197492368 30.278311005802486 1 1.1342752 0.03700000047683716 2 1.0 0 17958025
138 1 21 3 714.1598 31.922038078308105 1e-05 30.79560089111328 1 1.4587027 0.03700000047683716 2 1.0 0 17958237
139 4 26 17 713.8608 6.270920515060425 0.0009492861563320436 34.233633041381836 1 1.5473719 0.03700000047683716 3 1.0 0 17956715
