#k i j q boundname
8 27 34 -0 perimeter-fluxes
8 27 35 -0 perimeter-fluxes
8 28 11 -0 perimeter-fluxes
8 28 12 -0 perimeter-fluxes
8 28 13 -0 perimeter-fluxes
8 28 14 -0 perimeter-fluxes
8 28 15 -0 perimeter-fluxes
8 28 16 -0 perimeter-fluxes
8 28 17 -0 perimeter-fluxes
8 28 18 -0 perimeter-fluxes
8 28 19 -0 perimeter-fluxes
8 28 20 -0 perimeter-fluxes
8 28 21 -0 perimeter-fluxes
8 4 12 28.0022 perimeter-fluxes
8 4 13 30.9598 perimeter-fluxes
8 4 14 19.2333 perimeter-fluxes
8 4 15 12.9385 perimeter-fluxes
8 4 16 8.14261 perimeter-fluxes
8 4 24 -22.538 perimeter-fluxes
8 4 25 -11.5144 perimeter-fluxes
8 4 26 -6.99588 perimeter-fluxes
8 4 27 -3.1169 perimeter-fluxes
