rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
173,894,3,25,19,57,2,523.07184,4.616509,0.0001,34.78607177734375,1,1.0,0.0,0.0,0.0,0.0,184,60,-0.2615359,17958265,None
174,747,3,21,12,58,1,1455.5765,24.941338,0.0001,30.831528923045084,1,1.0,0.0,0.0,0.0,0.0,175,61,-4.4988093,17958025,None
175,748,3,21,13,58,2,147.76237,24.949274,0.0006303705856483117,30.711564741871268,1,1.0,0.0,0.0,0.0,0.0,176,61,-3.69714,17958025,None
176,783,3,22,13,58,3,1097.1346,24.955435,0.0001,30.61841968708268,1,1.0,0.0,0.0,0.0,0.0,177,61,-3.0746913,17958025,None
177,782,3,22,12,58,4,362.72836,24.96266,0.00011196375134444377,30.509190589290363,1,1.0,0.0,0.0,0.0,0.0,178,61,-2.34476,17958025,None
178,817,0,23,12,58,5,180.06244,24.965345,0.00021087658529980095,30.4685781610457,1,1.0,0.0,0.0,0.0,0.0,179,61,-2.0733645,17958025,None
179,782,3,22,12,58,6,327.42453,24.967857,0.00038112709075108426,30.43060720877604,1,1.0,0.0,0.0,0.0,0.0,180,61,-1.819621,17958025,None
180,817,0,23,12,58,7,1340.417,24.976112,0.0001,30.30581685020543,1,1.0,0.0,0.0,0.0,0.0,181,61,-0.98570025,17958025,None
181,852,0,24,12,58,8,315.49176,24.984306,0.00033567259190671545,30.181919344271726,1,1.0,0.0,0.0,0.0,0.0,190,61,-0.15774587,17958025,None
182,856,3,24,16,59,1,903.98254,3.9269521,0.00016147155590479642,34.906617821123184,1,1.0,0.0,0.0,0.0,0.0,183,63,-0.6873672,17956705,None
183,891,3,25,16,59,2,235.37592,3.960241,0.002239045191514078,34.76065035324156,1,1.0,0.0,0.0,0.0,0.0,195,63,-0.117687955,17956705,None
184,894,3,25,19,60,1,107.1941,4.6323466,0.0001,34.78512663384785,1,1.0,0.0,0.0,0.0,0.0,185,63,-3.0980165,17958031,None
185,859,3,24,19,60,2,438.8258,4.6457777,0.0001,34.78031230964281,1,1.0,0.0,0.0,0.0,0.0,186,63,-2.8250065,17958031,None
186,858,3,24,18,60,3,376.4787,4.665833,0.0001,34.77312366949081,1,1.0,0.0,0.0,0.0,0.0,187,63,-2.4173543,17958031,None
187,893,3,25,18,60,4,852.2642,4.6960583,0.0001,34.7622896927597,1,1.0,0.0,0.0,0.0,0.0,188,63,-1.8029828,17958031,None
188,892,3,25,17,60,5,1059.0656,4.743074,0.0001,34.74543726365421,1,1.0,0.0,0.0,0.0,0.0,189,63,-0.8473179,17958031,None
189,891,3,25,16,60,6,317.78513,4.7769423,0.0015723340133338294,34.73329740350249,1,1.0,0.0,0.0,0.0,0.0,195,63,-0.15889256,17958031,None
190,852,0,24,12,61,1,332.71286,24.987513,0.000511507419956321,30.076017407382086,1,1.0,0.0,0.0,0.0,0.0,191,64,-0.5216786,17956665,None
191,851,0,24,11,61,2,355.32217,24.990913,0.00031855946951498044,29.90583231072225,1,1.0,0.0,0.0,0.0,0.0,196,64,-0.17766109,17956665,None
192,874,3,24,34,62,1,559.1997,64.75132,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,193,65,-2.067974,18022246,Yalobusha River
193,909,3,25,34,62,2,901.48535,64.75132,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,194,65,-1.3376315,18022246,Yalobusha River
194,908,3,25,33,62,3,886.8888,64.75132,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,198,65,-0.4434444,18022246,Yalobusha River
195,891,3,25,16,63,1,713.8608,6.270514,0.0009130492641396416,34.233633041381836,1,1.0,0.0,0.0,0.0,0.0,202,66,-0.37870434,17956715,None
196,851,0,24,11,64,1,389.01617,25.071524,0.0001,29.79264106744288,1,1.0,0.0,0.0,0.0,0.0,197,67,-0.25873512,17956683,None
197,886,0,25,11,64,2,64.227036,25.073757,0.0006476524056893099,29.76316108697413,1,1.0,0.0,0.0,0.0,0.0,206,67,-0.03211352,17956683,None
198,908,3,25,33,65,1,125.86149,70.53642,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,199,69,-2.3509269,18022250,Yalobusha River
199,943,3,26,33,65,2,181.33502,70.53642,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,200,69,-2.1973286,18022250,Yalobusha River
200,907,3,25,32,65,3,1184.1481,70.53642,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,201,69,-1.495978,18022250,Yalobusha River
201,906,3,25,31,65,4,903.904,70.53642,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,209,69,-0.451952,18022250,Yalobusha River
202,890,3,25,15,66,1,906.6547,6.4123945,0.0003520748549775929,33.5818429825925,1,1.0,0.0,0.0,0.0,0.0,203,72,-2.1724615,17956825,Turkey Bayou
