,rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name,geometry
549,38,13099,0,81,139,3,29,260.78296,5.1938043,0.009623502074715493,1325.180549219936,1,1.0,0.0,0.0,0.0,0.0,39,6,1806.5354,1815711,None,"LINESTRING (693356 5141280.9189115735, 693279.8 5141303.5394156035)"
550,39,13098,0,81,138,3,30,271.47202,5.3098745,0.009346843647906219,1322.6709038730994,1,1.0,0.0,0.0,0.0,0.0,40,6,1887.651,1815711,None,"LINESTRING (693279.8 5141303.5394156035, 693246.3232233321 5141313.477231372, 693205.2651376865 5141338)"
551,40,12937,0,80,137,3,31,266.6726,5.4274235,0.005965339864319449,1320.1334973905525,1,1.0,0.0,0.0,0.0,0.0,41,6,1971.6039,1815711,None,"LINESTRING (693203.6 5141338.994537022, 693173.7380800741 5141356.830170165, 693127.4 5141352.96503285)"
552,41,12936,0,80,136,3,32,70.70896,5.498191,0.0237326321523526,1318.5427046547768,1,1.0,0.0,0.0,0.0,0.0,42,6,2023.0208,1815711,None,"LINESTRING (693127.4 5141352.96503285, 693123.0412235376 5141352.601459963, 693113.9920685329 5141338)"
553,42,13096,0,81,136,3,33,285.1908,5.571881,0.007151908195009455,1316.8645948819353,1,1.0,0.0,0.0,0.0,0.0,43,6,2077.26,1815711,None,"LINESTRING (693113.9920685329 5141338, 693103.7470299357 5141321.468896177, 693061.7640084161 5141284.499361631, 693051.2 5141279.860921123)"
554,43,13095,0,81,135,3,34,147.38858,5.6601725,0.00890956112069397,1314.824936491608,1,1.0,0.0,0.0,0.0,0.0,44,6,2143.185,1815711,None,"LINESTRING (693051.2 5141279.860921123, 693010.0664072722 5141261.8)"
555,44,13255,0,82,135,3,35,131.114,5.716304,0.015962947315276452,1313.5117689267345,1,1.0,0.0,0.0,0.0,0.0,45,6,2185.629,1815711,None,"LINESTRING (693010.0664072722 5141261.8, 692986.6178515821 5141251.504217728, 692975 5141243.073971645)"
556,45,13254,0,82,134,3,36,312.77048,5.804659,0.008798561275983727,1311.4188030777711,1,1.0,0.0,0.0,0.0,0.0,46,6,2253.2769,1815711,None,"LINESTRING (692975 5141243.073971645, 692902.2304086501 5141190.270270538, 692899.4733620071 5141185.6)"
557,46,13413,0,83,133,3,37,270.87003,5.9205356,0.008593842293368213,1308.666872867973,1,1.0,0.0,0.0,0.0,0.0,47,6,2343.548,1815711,None,"LINESTRING (692898.8 5141184.459365418, 692885.3862654296 5141161.737309001, 692864.9789404069 5141109.4)"
558,47,13573,0,84,133,3,38,222.82242,6.015431,0.009513453297019355,1306.3390585856673,1,1.0,0.0,0.0,0.0,0.0,48,6,2418.7869,1815711,None,"LINESTRING (692864.9789404069 5141109.4, 692864.3089617484 5141107.681750301, 692825.2830235428 5141058.098889306, 692822.6 5141056.818162064)"
