lakeno,cellid,claktype,bedleak,belev,telev,connlen,connwidth,zone,iconn
1,"(np.int64(0), np.int64(45), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,152
1,"(np.int64(0), np.int64(34), np.int64(42))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,153
1,"(np.int64(0), np.int64(37), np.int64(38))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,154
1,"(np.int64(0), np.int64(34), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,155
1,"(np.int64(0), np.int64(45), np.int64(51))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,156
1,"(np.int64(0), np.int64(37), np.int64(47))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,157
1,"(np.int64(0), np.int64(40), np.int64(39))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,158
1,"(np.int64(0), np.int64(29), np.int64(48))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,159
1,"(np.int64(0), np.int64(40), np.int64(48))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,160
1,"(np.int64(0), np.int64(41), np.int64(31))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,161
1,"(np.int64(0), np.int64(41), np.int64(40))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,162
1,"(np.int64(2), np.int64(33), np.int64(36))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,163
1,"(np.int64(0), np.int64(44), np.int64(36))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,164
1,"(np.int64(0), np.int64(41), np.int64(49))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,165
1,"(np.int64(0), np.int64(33), np.int64(45))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,166
1,"(np.int64(0), np.int64(33), np.int64(54))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,167
1,"(np.int64(2), np.int64(34), np.int64(37))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,168
1,"(np.int64(0), np.int64(37), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,169
1,"(np.int64(0), np.int64(37), np.int64(42))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,170
1,"(np.int64(0), np.int64(36), np.int64(46))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,171
1,"(np.int64(0), np.int64(28), np.int64(51))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,172
1,"(np.int64(0), np.int64(40), np.int64(34))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,173
1,"(np.int64(0), np.int64(40), np.int64(43))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,174
1,"(np.int64(0), np.int64(29), np.int64(52))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,175
1,"(np.int64(0), np.int64(40), np.int64(52))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,176
1,"(np.int64(0), np.int64(41), np.int64(35))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,177
1,"(np.int64(0), np.int64(44), np.int64(31))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,178
1,"(np.int64(0), np.int64(41), np.int64(44))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,179
1,"(np.int64(1), np.int64(33), np.int64(40))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,180
1,"(np.int64(0), np.int64(33), np.int64(49))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,181
1,"(np.int64(1), np.int64(44), np.int64(49))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,182
1,"(np.int64(0), np.int64(32), np.int64(53))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,183
1,"(np.int64(0), np.int64(45), np.int64(32))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,184
1,"(np.int64(0), np.int64(36), np.int64(41))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,185
1,"(np.int64(0), np.int64(36), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,186
1,"(np.int64(0), np.int64(40), np.int64(38))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,187
1,"(np.int64(0), np.int64(29), np.int64(47))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,188
1,"(np.int64(0), np.int64(40), np.int64(47))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,189
1,"(np.int64(0), np.int64(41), np.int64(30))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,190
1,"(np.int64(0), np.int64(41), np.int64(39))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,191
1,"(np.int64(2), np.int64(33), np.int64(35))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,192
1,"(np.int64(0), np.int64(44), np.int64(35))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,193
