#k i j q boundname
7 4 27 -0.110528 perimeter-fluxes
7 5 9 213.494 perimeter-fluxes
7 5 10 205.142 perimeter-fluxes
7 5 11 188.846 perimeter-fluxes
7 5 17 69.863 perimeter-fluxes
7 5 23 -12.5916 perimeter-fluxes
7 5 28 -1.66264 perimeter-fluxes
7 6 8 276.426 perimeter-fluxes
7 6 18 60.6745 perimeter-fluxes
7 6 29 -0.746872 perimeter-fluxes
7 7 7 307.327 perimeter-fluxes
7 7 19 57.9458 perimeter-fluxes
7 7 22 9.31318 perimeter-fluxes
7 7 30 1.81871 perimeter-fluxes
7 8 6 347.58 perimeter-fluxes
7 8 20 57.861 perimeter-fluxes
7 8 21 44.0509 perimeter-fluxes
7 9 5 361.089 perimeter-fluxes
7 10 4 366.277 perimeter-fluxes
7 13 33 1.61328 perimeter-fluxes
7 18 34 22.0007 perimeter-fluxes
7 19 35 0 perimeter-fluxes
8 4 16 162.894 perimeter-fluxes
8 4 27 17.5154 perimeter-fluxes
8 5 17 175.422 perimeter-fluxes
8 5 28 1.8314 perimeter-fluxes
8 5 33 -2.79436 perimeter-fluxes
8 6 18 183.279 perimeter-fluxes
8 6 29 -10.001 perimeter-fluxes
8 6 33 -5.42374 perimeter-fluxes
8 7 19 187.165 perimeter-fluxes
8 7 33 -4.68369 perimeter-fluxes
8 8 33 -5.87082 perimeter-fluxes
8 9 33 -6.96295 perimeter-fluxes
8 10 33 -8.92206 perimeter-fluxes
8 11 33 -8.26964 perimeter-fluxes
8 12 33 -0.923273 perimeter-fluxes
8 13 33 -2.27331 perimeter-fluxes
8 14 33 -6.73442 perimeter-fluxes
8 15 33 -19.9046 perimeter-fluxes
8 16 33 -37.9256 perimeter-fluxes
8 17 33 -46.1014 perimeter-fluxes
8 18 35 -0 perimeter-fluxes
8 19 35 -0 perimeter-fluxes
8 20 35 -0 perimeter-fluxes
8 21 35 -0 perimeter-fluxes
8 22 35 -0 perimeter-fluxes
8 23 35 -0 perimeter-fluxes
8 24 35 -0 perimeter-fluxes
8 25 35 -0 perimeter-fluxes
8 26 35 -0 perimeter-fluxes
8 27 35 -0 perimeter-fluxes
8 28 21 -0 perimeter-fluxes
8 4 12 -136.305 perimeter-fluxes
8 4 24 -112.433 perimeter-fluxes
8 5 9 -112.028 perimeter-fluxes
8 5 23 -137.245 perimeter-fluxes
8 5 32 -25.8345 perimeter-fluxes
8 6 8 -114.983 perimeter-fluxes
8 6 23 -136.098 perimeter-fluxes
8 6 32 -29.4843 perimeter-fluxes
8 7 7 -182.867 perimeter-fluxes
8 7 22 -158.479 perimeter-fluxes
8 8 6 -161.963 perimeter-fluxes
8 9 5 -99.5565 perimeter-fluxes
8 10 4 -77.5176 perimeter-fluxes
8 11 4 -84.5134 perimeter-fluxes
8 12 4 -89.0573 perimeter-fluxes
8 13 4 -90.2443 perimeter-fluxes
8 14 4 -91.1728 perimeter-fluxes
8 15 4 -92.8133 perimeter-fluxes
8 16 4 -86.1816 perimeter-fluxes
8 17 5 -104.758 perimeter-fluxes
8 18 5 -97.8662 perimeter-fluxes
8 19 5 -93.2793 perimeter-fluxes
8 20 5 -90.0272 perimeter-fluxes
8 21 5 -79.9786 perimeter-fluxes
8 22 5 -70.8405 perimeter-fluxes
8 23 5 -61.146 perimeter-fluxes
8 24 5 -56.7935 perimeter-fluxes
8 25 5 -53.0945 perimeter-fluxes
8 26 5 -55.9459 perimeter-fluxes
8 27 10 -223.696 perimeter-fluxes
8 28 11 0 perimeter-fluxes
8 16 4 -109.827 perimeter-fluxes
8 26 5 -53.5382 perimeter-fluxes
8 26 6 -51.2342 perimeter-fluxes
8 26 7 -46.4837 perimeter-fluxes
8 26 8 -38.1138 perimeter-fluxes
8 26 9 -32.2331 perimeter-fluxes
8 27 10 -0 perimeter-fluxes
8 27 22 -0 perimeter-fluxes
8 27 23 -0 perimeter-fluxes
8 27 24 -0 perimeter-fluxes
8 27 25 -0 perimeter-fluxes
8 27 26 -0 perimeter-fluxes
8 27 27 -0 perimeter-fluxes
8 27 28 -0 perimeter-fluxes
8 27 29 -0 perimeter-fluxes
8 27 30 -0 perimeter-fluxes
8 27 31 -0 perimeter-fluxes
8 27 32 -0 perimeter-fluxes
8 27 33 -0 perimeter-fluxes
8 27 34 -0 perimeter-fluxes
8 27 35 -0 perimeter-fluxes
8 28 11 -0 perimeter-fluxes
8 28 12 -0 perimeter-fluxes
8 28 13 -0 perimeter-fluxes
8 28 14 -0 perimeter-fluxes
8 28 15 -0 perimeter-fluxes
8 28 16 -0 perimeter-fluxes
8 28 17 -0 perimeter-fluxes
8 28 18 -0 perimeter-fluxes
8 28 19 -0 perimeter-fluxes
8 28 20 -0 perimeter-fluxes
8 28 21 -0 perimeter-fluxes
8 4 12 62.0691 perimeter-fluxes
8 4 13 57.0147 perimeter-fluxes
8 4 14 49.8125 perimeter-fluxes
8 4 15 42.6155 perimeter-fluxes
8 4 16 38.7488 perimeter-fluxes
8 4 24 -6.49666 perimeter-fluxes
8 4 25 -2.97972 perimeter-fluxes
