,b0,b1,b2,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
63,0,8,3,63,"(0, 8, 3)",1,163,0.1,1e-06,0.1,0.3,0.11,3.5,ag
64,0,8,4,64,"(0, 8, 4)",1,164,0.1,1e-06,0.1,0.3,0.11,3.5,ag
65,0,8,5,65,"(0, 8, 5)",1,165,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
66,0,8,6,66,"(0, 8, 6)",1,166,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
67,0,8,7,67,"(0, 8, 7)",1,167,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
68,0,8,8,68,"(0, 8, 8)",1,168,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
69,0,9,1,69,"(0, 9, 1)",1,169,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
70,0,9,2,70,"(0, 9, 2)",1,170,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
71,0,9,3,71,"(0, 9, 3)",1,171,0.1,1e-06,0.1,0.3,0.11,3.5,ag
72,0,9,4,72,"(0, 9, 4)",1,172,0.1,1e-06,0.1,0.3,0.11,3.5,ag
73,0,9,5,73,"(0, 9, 5)",1,173,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
74,0,9,8,74,"(0, 9, 8)",1,174,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
75,0,9,9,75,"(0, 9, 9)",1,175,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
76,0,10,1,76,"(0, 10, 1)",1,176,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
77,0,10,5,77,"(0, 10, 5)",1,177,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
78,0,10,8,78,"(0, 10, 8)",1,178,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
79,0,11,0,79,"(0, 11, 0)",1,179,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
80,0,11,1,80,"(0, 11, 1)",1,180,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
81,0,11,5,81,"(0, 11, 5)",1,181,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
82,0,11,6,82,"(0, 11, 6)",1,182,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
83,0,11,7,83,"(0, 11, 7)",1,183,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
84,0,11,8,84,"(0, 11, 8)",1,184,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
85,0,12,0,85,"(0, 12, 0)",1,185,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
86,0,12,1,86,"(0, 12, 1)",1,186,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
87,0,12,5,87,"(0, 12, 5)",1,187,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
88,0,12,6,88,"(0, 12, 6)",1,188,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
89,0,12,7,89,"(0, 12, 7)",1,189,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
90,0,12,8,90,"(0, 12, 8)",1,190,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
91,0,13,1,91,"(0, 13, 1)",1,191,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
92,0,13,5,92,"(0, 13, 5)",1,192,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
93,0,13,6,93,"(0, 13, 6)",1,193,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
94,0,13,7,94,"(0, 13, 7)",1,194,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
95,0,13,8,95,"(0, 13, 8)",1,195,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
96,0,14,2,96,"(0, 14, 2)",1,196,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
97,0,14,3,97,"(0, 14, 3)",1,197,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
98,0,14,4,98,"(0, 14, 4)",1,198,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
